S.No,Date,Day,Course Code,Course Title,Type,Class ID,Slot,Session,Reporting Time,Exam Time
1,26-Sep-2026,Saturday,MAENG501,"Technical Report Writing",ETH,VL2026270106586,TAA1,AN1,01:30 PM,"02:00 PM - 03:30 PM"
2,27-Sep-2026,Sunday,MACSE502,"Programming for Data Science",ETH,VL2026270106067,A1+TA1,AN2,04:00 PM,"04:30 PM - 06:00 PM"
3,28-Sep-2026,Monday,MACSE501,"Data Structures and Algorithm Analysis",ETH,VL2026270106999,B1+TB1,AN1,01:30 PM,"02:00 PM - 03:30 PM"
4,30-Sep-2026,Wednesday,MAMAT500,"Applied Statistics",TH,VL2026270105581,D1+TD1,AN2,04:00 PM,"04:30 PM - 06:00 PM"
5,01-Oct-2026,Thursday,MACSE504,"Machine Learning",ETH,VL2026270106068,E1+TE1,AN2,04:00 PM,"04:30 PM - 06:00 PM"
6,03-Oct-2026,Saturday,MACSE503,"Data Engineering",ETH,VL2026270106818,F1+TF1,AN2,04:00 PM,"04:30 PM - 06:00 PM"
7,04-Oct-2026,Sunday,MASTS601,"Competitive Coding I",SS,VL2026270104814,G1+TG1,AN2,02:45 PM,"03:15 PM - 04:30 PM"
